@relation 2011.04.28-Joggen-SomeOtherText

@attribute timestamp DATE "yyyy-MM-dd' 'HH:mm:ss.SS" 
@attribute x numeric
@attribute y numeric
@attribute z numeric

@data
'2011-07-05 10:02:29.097',100,66,-31
'2011-07-05 10:02:29.137',119,57,-32
'2011-07-05 10:02:29.177',127,15,1
'2011-07-05 10:02:29.217',127,-61,48
'2011-07-05 10:02:29.257',59,23,43
'2011-07-05 10:02:29.297',127,-72,41
'2011-07-05 10:02:29.337',127,-89,87
'2011-07-05 10:02:29.377',127,-82,70
'2011-07-05 10:02:29.417',115,-50,93
'2011-07-05 10:02:29.457',-1,-53,21
'2011-07-05 10:02:29.497',36,0,35
'2011-07-05 10:02:29.537',116,2,46
'2011-07-05 10:02:29.577',126,13,29
'2011-07-05 10:02:29.617',127,68,-85
'2011-07-05 10:02:29.657',122,127,-128
'2011-07-05 10:02:29.697',22,127,-127
'2011-07-05 10:02:29.737',70,85,-14
'2011-07-05 10:02:29.777',57,34,-68
'2011-07-05 10:02:29.817',96,-12,-36
'2011-07-05 10:02:29.857',127,78,-34
'2011-07-05 10:02:29.897',127,38,-27
'2011-07-05 10:02:29.937',127,-41,24
'2011-07-05 10:02:29.977',99,-6,61
'2011-07-05 10:02:30.017',127,-90,70
'2011-07-05 10:02:30.057',127,-56,111
'2011-07-05 10:02:30.097',123,-75,82
'2011-07-05 10:02:30.137',120,-52,84
'2011-07-05 10:02:30.177',59,-27,57
'2011-07-05 10:02:30.217',22,12,58
'2011-07-05 10:02:30.257',86,16,60
'2011-07-05 10:02:30.297',111,26,54
'2011-07-05 10:02:30.337',127,70,-38
'2011-07-05 10:02:30.377',127,127,-128
'2011-07-05 10:02:30.417',48,127,-128
'2011-07-05 10:02:30.457',57,87,-77
'2011-07-05 10:02:30.497',-128,-128,-128
'2011-07-05 10:02:30.537',95,28,-7
'2011-07-05 10:02:30.577',100,88,-18
'2011-07-05 10:02:30.617',127,46,-20
'2011-07-05 10:02:30.657',127,-18,21
'2011-07-05 10:02:30.697',126,-66,45
'2011-07-05 10:02:30.737',127,-98,11
'2011-07-05 10:02:30.777',127,-65,83
'2011-07-05 10:02:30.817',127,-53,64
'2011-07-05 10:02:30.857',126,-53,73
'2011-07-05 10:02:30.897',56,-47,59
'2011-07-05 10:02:30.937',12,-23,36
'2011-07-05 10:02:30.977',72,-6,33
'2011-07-05 10:02:31.017',127,30,26
'2011-07-05 10:02:31.057',127,92,-90
'2011-07-05 10:02:31.097',127,124,-123
'2011-07-05 10:02:31.137',91,127,-124
'2011-07-05 10:02:31.177',85,124,-99
'2011-07-05 10:02:31.217',13,-72,2
'2011-07-05 10:02:31.257',96,28,115
'2011-07-05 10:02:31.297',68,78,-22
'2011-07-05 10:02:31.337',117,57,-35
'2011-07-05 10:02:31.377',127,-11,53
'2011-07-05 10:02:31.417',127,-35,59
'2011-07-05 10:02:31.457',127,-124,42
'2011-07-05 10:02:31.497',127,-51,86
'2011-07-05 10:02:31.537',127,-66,67
'2011-07-05 10:02:31.577',127,-63,75
'2011-07-05 10:02:31.617',57,-43,68
'2011-07-05 10:02:31.657',2,-29,38
'2011-07-05 10:02:31.697',80,-9,35
'2011-07-05 10:02:31.737',127,9,11
'2011-07-05 10:02:31.777',127,67,-95
'2011-07-05 10:02:31.817',127,119,-122
'2011-07-05 10:02:31.857',73,127,-128
'2011-07-05 10:02:31.897',38,113,-87
'2011-07-05 10:02:31.937',112,81,-41
'2011-07-05 10:02:31.977',57,66,-58
'2011-07-05 10:02:32.017',96,78,-23
'2011-07-05 10:02:32.057',118,60,-26
'2011-07-05 10:02:32.097',127,2,0
'2011-07-05 10:02:32.137',127,-61,53
'2011-07-05 10:02:32.177',100,24,-31
'2011-07-05 10:02:32.217',127,-70,82
'2011-07-05 10:02:32.257',122,-63,72
'2011-07-05 10:02:32.297',127,-63,80
'2011-07-05 10:02:32.337',80,-44,76
'2011-07-05 10:02:32.377',22,-28,26
'2011-07-05 10:02:32.417',72,1,39
'2011-07-05 10:02:32.457',127,24,53
'2011-07-05 10:02:32.497',127,88,-55
'2011-07-05 10:02:32.537',127,123,-112
'2011-07-05 10:02:32.577',84,127,-128
'2011-07-05 10:02:32.617',23,127,-109
'2011-07-05 10:02:32.657',127,127,-128
'2011-07-05 10:02:32.697',-19,104,-72
'2011-07-05 10:02:32.737',85,72,32
'2011-07-05 10:02:32.777',102,61,-15
'2011-07-05 10:02:32.817',127,38,-18
'2011-07-05 10:02:32.857',127,-59,46
'2011-07-05 10:02:32.897',78,-6,53
'2011-07-05 10:02:32.937',127,-92,81
'2011-07-05 10:02:32.977',127,-43,62
'2011-07-05 10:02:33.017',127,-54,60
'2011-07-05 10:02:33.057',102,-39,83
'2011-07-05 10:02:33.097',7,-42,27
'2011-07-05 10:02:33.137',38,-12,43
'2011-07-05 10:02:33.177',96,8,62
'2011-07-05 10:02:33.217',127,32,0
'2011-07-05 10:02:33.257',127,86,-75
'2011-07-05 10:02:33.297',125,127,-128
'2011-07-05 10:02:33.337',32,127,-128
'2011-07-05 10:02:33.377',78,82,-19
'2011-07-05 10:02:33.417',-128,127,92
'2011-07-05 10:02:33.457',86,32,62
'2011-07-05 10:02:33.497',84,88,-14
'2011-07-05 10:02:33.537',127,50,-37
'2011-07-05 10:02:33.577',127,10,-7
'2011-07-05 10:02:33.617',127,-58,54
'2011-07-05 10:02:33.657',48,31,14
'2011-07-05 10:02:33.697',127,-84,96
'2011-07-05 10:02:33.737',112,-61,62
'2011-07-05 10:02:33.777',125,-60,73
'2011-07-05 10:02:33.817',71,-45,67
'2011-07-05 10:02:33.857',28,-9,31
'2011-07-05 10:02:33.897',78,12,39
'2011-07-05 10:02:33.937',122,14,12
'2011-07-05 10:02:33.977',127,102,-77
'2011-07-05 10:02:34.017',127,125,-119
'2011-07-05 10:02:34.057',69,127,-128
'2011-07-05 10:02:34.097',19,127,-101
'2011-07-05 10:02:34.137',127,127,-128
'2011-07-05 10:02:34.177',-30,127,-67
'2011-07-05 10:02:34.217',95,62,4
'2011-07-05 10:02:34.257',127,63,-30
'2011-07-05 10:02:34.297',127,-12,3
'2011-07-05 10:02:34.337',127,-61,39
'2011-07-05 10:02:34.377',81,-16,47
'2011-07-05 10:02:34.417',127,-92,72
'2011-07-05 10:02:34.457',118,-57,76
'2011-07-05 10:02:34.497',114,-61,66
'2011-07-05 10:02:34.537',103,-36,84
'2011-07-05 10:02:34.577',20,-22,23
'2011-07-05 10:02:34.617',50,4,27
'2011-07-05 10:02:34.657',106,30,50
'2011-07-05 10:02:34.697',127,36,-42
'2011-07-05 10:02:34.737',127,99,-93
'2011-07-05 10:02:34.777',116,127,-128
'2011-07-05 10:02:34.817',25,127,-125
'2011-07-05 10:02:34.857',55,44,-12
'2011-07-05 10:02:34.897',-128,2,-23
'2011-07-05 10:02:34.937',100,-47,-23
'2011-07-05 10:02:34.977',100,72,7
'2011-07-05 10:02:35.017',127,34,-21
'2011-07-05 10:02:35.057',127,-7,11
'2011-07-05 10:02:35.097',127,-50,53
'2011-07-05 10:02:35.137',122,-8,-32
'2011-07-05 10:02:35.177',127,-90,85
'2011-07-05 10:02:35.217',92,-70,69
'2011-07-05 10:02:35.257',117,-53,78
'2011-07-05 10:02:35.297',74,-38,72
'2011-07-05 10:02:35.337',23,-14,33
'2011-07-05 10:02:35.377',69,16,37
'2011-07-05 10:02:35.417',121,16,49
'2011-07-05 10:02:35.457',127,73,-77
'2011-07-05 10:02:35.497',127,119,-121
'2011-07-05 10:02:35.537',76,127,-128
'2011-07-05 10:02:35.577',59,127,-86
'2011-07-05 10:02:35.617',78,3,-37
'2011-07-05 10:02:35.657',96,52,46
'2011-07-05 10:02:35.697',82,70,-21
'2011-07-05 10:02:35.737',112,52,-34
'2011-07-05 10:02:35.817',113,-14,42
'2011-07-05 10:02:35.857',127,-114,12
'2011-07-05 10:02:35.897',127,-60,75
'2011-07-05 10:02:35.937',127,-55,79
'2011-07-05 10:02:35.977',127,-56,74
'2011-07-05 10:02:36.017',99,-43,79
'2011-07-05 10:02:36.057',1,-43,19
'2011-07-05 10:02:36.097',40,0,30
'2011-07-05 10:02:36.137',110,-6,38
'2011-07-05 10:02:36.177',127,20,-32
'2011-07-05 10:02:36.217',127,74,-93
'2011-07-05 10:02:36.257',119,127,-128
'2011-07-05 10:02:36.297',24,127,-126
'2011-07-05 10:02:36.337',75,53,-11
'2011-07-05 10:02:36.377',-128,127,-128
'2011-07-05 10:02:36.417',94,15,-48
'2011-07-05 10:02:36.457',98,41,-26
'2011-07-05 10:02:36.497',127,32,-20
'2011-07-05 10:02:36.537',127,-11,12
'2011-07-05 10:02:36.577',127,-51,39
'2011-07-05 10:02:36.617',127,-80,0
'2011-07-05 10:02:36.657',127,-76,69
'2011-07-05 10:02:36.697',126,-61,71
'2011-07-05 10:02:36.737',126,-55,78
'2011-07-05 10:02:36.777',61,-39,66
'2011-07-05 10:02:36.817',22,-17,31
'2011-07-05 10:02:36.857',80,4,37
'2011-07-05 10:02:36.897',127,22,23
'2011-07-05 10:02:36.937',127,104,-92
'2011-07-05 10:02:36.977',127,125,-125
'2011-07-05 10:02:37.017',66,127,-128
'2011-07-05 10:02:37.057',33,126,-111
'2011-07-05 10:02:37.097',127,127,-128
'2011-07-05 10:02:37.137',18,-43,-47
'2011-07-05 10:02:37.177',84,127,21
'2011-07-05 10:02:37.217',127,68,-22
'2011-07-05 10:02:37.257',127,-1,8
'2011-07-05 10:02:37.297',127,-55,49
'2011-07-05 10:02:37.337',80,-3,45
'2011-07-05 10:02:37.377',127,-96,73
'2011-07-05 10:02:37.417',127,-66,86
'2011-07-05 10:02:37.457',120,-58,68
'2011-07-05 10:02:37.497',107,-52,95
'2011-07-05 10:02:37.537',10,-44,24
'2011-07-05 10:02:37.577',48,-6,32
'2011-07-05 10:02:37.617',104,9,57
'2011-07-05 10:02:37.657',127,42,-25
'2011-07-05 10:02:37.697',127,127,-128
'2011-07-05 10:02:37.737',116,127,-128
'2011-07-05 10:02:37.777',16,127,-122
'2011-07-05 10:02:37.817',95,82,-14
'2011-07-05 10:02:37.857',12,26,-65
'2011-07-05 10:02:37.897',82,114,13
'2011-07-05 10:02:37.937',125,72,-24
'2011-07-05 10:02:37.977',127,46,-23
'2011-07-05 10:02:38.017',127,-40,28
'2011-07-05 10:02:38.057',113,-26,47
'2011-07-05 10:02:38.097',127,-101,51
'2011-07-05 10:02:38.137',127,-84,78
'2011-07-05 10:02:38.177',114,-54,66
'2011-07-05 10:02:38.217',121,-40,91
'2011-07-05 10:02:38.257',38,-38,50
'2011-07-05 10:02:38.297',34,-6,32
'2011-07-05 10:02:38.337',96,16,44
'2011-07-05 10:02:38.377',115,16,35
'2011-07-05 10:02:38.417',127,67,-57
'2011-07-05 10:02:38.457',125,127,-128
'2011-07-05 10:02:38.497',21,127,-128
'2011-07-05 10:02:38.537',82,87,-49
'2011-07-05 10:02:38.577',44,29,-46
'2011-07-05 10:02:38.617',90,9,-20
'2011-07-05 10:02:38.657',99,54,-22
'2011-07-05 10:02:38.697',123,49,-27
'2011-07-05 10:02:38.737',127,-23,21
'2011-07-05 10:02:38.777',125,-55,44
'2011-07-05 10:02:38.817',127,-79,14
'2011-07-05 10:02:38.857',127,-68,77
'2011-07-05 10:02:38.897',125,-61,74
'2011-07-05 10:02:38.937',123,-44,80
'2011-07-05 10:02:38.977',60,-49,72
'2011-07-05 10:02:39.017',17,-28,31
'2011-07-05 10:02:39.057',74,2,35
'2011-07-05 10:02:39.097',127,31,45
'2011-07-05 10:02:39.137',127,101,-70
'2011-07-05 10:02:39.177',127,125,-118
'2011-07-05 10:02:39.217',73,127,-128
'2011-07-05 10:02:39.257',32,110,-97
'2011-07-05 10:02:39.297',116,74,-34
'2011-07-05 10:02:39.337',74,59,-37
'2011-07-05 10:02:39.377',80,17,-33
'2011-07-05 10:02:39.417',105,56,-34
'2011-07-05 10:02:39.457',127,24,-20
'2011-07-05 10:02:39.497',127,-56,33
'2011-07-05 10:02:39.537',75,-11,44
'2011-07-05 10:02:39.577',127,-87,62
'2011-07-05 10:02:39.617',127,-58,95
'2011-07-05 10:02:39.657',113,-45,72
'2011-07-05 10:02:39.697',103,-42,82
'2011-07-05 10:02:39.737',5,-44,12
'2011-07-05 10:02:39.777',44,-3,34
'2011-07-05 10:02:39.817',102,16,43
'2011-07-05 10:02:39.857',127,48,-10
'2011-07-05 10:02:39.897',127,95,-85
'2011-07-05 10:02:39.937',123,127,-128
'2011-07-05 10:02:39.977',25,127,-127
'2011-07-05 10:02:40.017',91,105,-17
'2011-07-05 10:02:40.057',16,31,-45
'2011-07-05 10:02:40.097',92,64,9
'2011-07-05 10:02:40.137',99,44,-33
'2011-07-05 10:02:40.177',124,58,-31
'2011-07-05 10:02:40.217',127,-13,21
'2011-07-05 10:02:40.257',127,-32,52
'2011-07-05 10:02:40.297',127,-99,21
'2011-07-05 10:02:40.337',127,-46,68
'2011-07-05 10:02:40.377',126,-56,74
'2011-07-05 10:02:40.417',124,-55,84
'2011-07-05 10:02:40.457',57,-41,55
'2011-07-05 10:02:40.497',18,-7,31
'2011-07-05 10:02:40.537',79,11,44
'2011-07-05 10:02:40.577',127,20,21
'2011-07-05 10:02:40.617',127,112,-86
'2011-07-05 10:02:40.657',127,126,-123
'2011-07-05 10:02:40.697',68,127,-128
'2011-07-05 10:02:40.737',43,114,-97
'2011-07-05 10:02:40.777',120,65,-23
'2011-07-05 10:02:40.817',82,71,-37
'2011-07-05 10:02:40.857',82,38,-16
'2011-07-05 10:02:40.897',111,59,-29
'2011-07-05 10:02:40.937',127,15,-12
'2011-07-05 10:02:40.977',127,-65,35
'2011-07-05 10:02:41.017',50,30,33
'2011-07-05 10:02:41.057',127,-64,64
'2011-07-05 10:02:41.097',127,-46,86
'2011-07-05 10:02:41.137',126,-47,68
'2011-07-05 10:02:41.177',91,-37,97
