@relation test

@attribute timestamp DATE "yyyy-MM-dd' 'HH:mm:ss.SS" 
@attribute x numeric
@attribute y numeric
@attribute z numeric
@attribute class {Joggen,Spazieren}

@data
'2011-07-05 10:04:04.833',-42,2,-39,Joggen
'2011-07-05 10:04:04.873',-103,-6,-63,Joggen
'2011-07-05 10:04:04.913',-128,5,-26,Joggen
'2011-07-05 10:04:04.953',-128,56,123,Joggen
'2011-07-05 10:04:04.993',-128,106,122,Joggen
'2011-07-05 10:04:05.033',-118,127,123,Joggen
'2011-07-05 10:04:05.073',-86,101,77,Joggen
'2011-07-05 10:04:05.113',-107,21,16,Joggen
'2011-07-05 10:04:05.153',-76,54,40,Joggen
'2011-07-05 10:04:05.193',-84,15,6,Joggen
'2011-07-05 10:04:05.233',-119,26,21,Joggen
'2011-07-05 10:04:05.273',-128,-14,-8,Joggen
'2011-07-05 10:04:05.313',-128,-70,-69,Joggen
'2011-07-05 10:04:05.353',-29,15,-32,Joggen
'2011-07-05 10:04:05.393',-128,-84,-87,Joggen
'2011-07-05 10:04:05.433',-119,-78,-105,Joggen
'2011-07-05 10:04:05.473',-107,-70,-94,Joggen
'2011-07-05 10:04:05.513',-75,-39,-106,Joggen
'2011-07-05 10:04:05.553',0,-34,-22,Joggen
'2011-07-05 10:04:05.593',-36,-4,-37,Joggen
'2011-07-05 10:04:05.633',-90,-4,-67,Joggen
'2011-07-05 10:04:05.673',-128,-19,25,Joggen
'2011-07-05 10:04:05.713',-128,127,123,Joggen
'2011-07-05 10:04:05.753',-128,127,123,Joggen
'2011-07-05 10:04:05.793',-101,127,102,Joggen
'2011-07-05 10:04:05.833',-113,76,41,Joggen
'2011-07-05 10:04:05.873',-58,26,123,Joggen
'2011-07-05 10:04:05.913',-83,92,27,Joggen
'2011-07-05 10:04:05.953',-91,31,20,Joggen
'2011-07-05 10:04:05.993',-128,3,19,Joggen
'2011-07-05 10:04:06.033',-128,-45,-54,Joggen
'2011-07-05 10:04:06.073',-103,-52,-69,Joggen
'2011-07-05 10:04:06.113',-128,-128,-99,Joggen
'2011-07-05 10:04:06.153',-128,-60,-93,Joggen
'2011-07-05 10:04:06.193',-118,-70,-85,Joggen
'2011-07-05 10:04:06.233',-93,-42,-93,Joggen
'2011-07-05 10:04:06.273',-8,-12,-27,Joggen
'2011-07-05 10:04:06.313',-14,-4,-34,Joggen
'2011-07-05 10:04:06.353',-70,-2,-59,Joggen
'2011-07-05 10:04:06.393',-128,-14,4,Joggen
'2011-07-05 10:04:06.433',-128,34,123,Joggen
'2011-07-05 10:04:06.473',-128,106,123,Joggen
'2011-07-05 10:04:06.513',-118,127,123,Joggen
'2011-07-05 10:04:06.553',-87,82,44,Joggen
'2011-07-05 10:04:06.593',-67,15,4,Joggen
'2011-07-05 10:04:06.633',-84,-14,-28,Joggen
'2011-07-05 10:04:06.673',-111,42,26,Joggen
'2011-07-05 10:04:06.713',-124,19,18,Joggen
'2011-07-05 10:04:06.753',-128,-31,-27,Joggen
'2011-07-05 10:04:06.793',-128,-74,-71,Joggen
'2011-07-05 10:04:06.833',-81,-24,58,Joggen
'2011-07-05 10:04:06.873',-128,-74,-99,Joggen
'2011-07-05 10:04:06.913',-117,-65,-90,Joggen
'2011-07-05 10:04:06.953',-92,-46,-92,Joggen
'2011-07-05 10:04:06.993',-63,-37,-83,Joggen
'2011-07-05 10:04:07.033',0,-40,-18,Joggen
'2011-07-05 10:04:07.073',-40,-2,-39,Joggen
'2011-07-05 10:04:07.113',-99,3,-76,Joggen
'2011-07-05 10:04:07.153',-128,0,21,Joggen
'2011-07-05 10:04:07.193',-128,54,90,Joggen
'2011-07-05 10:04:07.233',-128,127,123,Joggen
'2011-07-05 10:04:07.273',-100,127,123,Joggen
'2011-07-05 10:04:07.313',-101,25,-9,Joggen
'2011-07-05 10:04:07.353',-7,28,-73,Joggen
'2011-07-05 10:04:07.393',-90,35,14,Joggen
'2011-07-05 10:04:07.433',-97,34,24,Joggen
'2011-07-05 10:04:07.473',-124,8,17,Joggen
'2011-07-05 10:04:07.513',-128,-53,-48,Joggen
'2011-07-05 10:04:07.553',-122,-58,-77,Joggen
'2011-07-05 10:04:07.593',-128,-118,-66,Joggen
'2011-07-05 10:04:07.633',-128,-70,-115,Joggen
'2011-07-05 10:04:07.673',-107,-63,-98,Joggen
'2011-07-05 10:04:07.713',-100,-45,-97,Joggen
'2011-07-05 10:04:07.753',-30,-28,-70,Joggen
'2011-07-05 10:04:07.793',-7,0,-43,Joggen
'2011-07-05 10:04:07.833',-70,-9,-44,Joggen
'2011-07-05 10:04:07.873',-128,-13,-12,Joggen
'2011-07-05 10:04:07.913',-128,52,105,Joggen
'2011-07-05 10:04:07.953',-128,112,121,Joggen
'2011-07-05 10:04:07.993',-119,127,123,Joggen
'2011-07-05 10:04:08.033',-103,93,36,Joggen
'2011-07-05 10:04:08.073',-62,21,10,Joggen
'2011-07-05 10:04:08.113',-103,26,-57,Joggen
'2011-07-05 10:04:08.153',-92,51,15,Joggen
'2011-07-05 10:04:08.193',-112,27,22,Joggen
'2011-07-05 10:04:08.233',-128,-18,-16,Joggen
'2011-07-05 10:04:08.273',-128,-70,-75,Joggen
'2011-07-05 10:04:08.313',-46,20,-42,Joggen
'2011-07-05 10:04:08.353',-128,-94,-116,Joggen
'2011-07-05 10:04:08.393',-83,-60,-75,Joggen
'2011-07-05 10:04:08.433',-100,-56,-79,Joggen
'2011-07-05 10:04:08.473',-72,-38,-92,Joggen
'2011-07-05 10:04:08.513',0,-25,-33,Joggen
'2011-07-05 10:04:08.553',-46,-6,-38,Joggen
'2011-07-05 10:04:08.593',-115,-12,-69,Joggen
'2011-07-05 10:04:08.633',-128,-9,36,Joggen
'2011-07-05 10:04:08.673',-128,127,123,Joggen
'2011-07-05 10:04:08.713',-128,127,123,Joggen
'2011-07-05 10:04:08.753',-98,127,123,Joggen
'2011-07-05 10:04:08.793',-66,38,-2,Joggen
'2011-07-05 10:04:08.833',64,127,123,Joggen
'2011-07-05 10:04:08.873',-71,-46,38,Joggen
'2011-07-05 10:04:08.913',-109,53,5,Joggen
'2011-07-05 10:04:08.953',-128,-26,4,Joggen
'2011-07-05 10:04:08.993',-128,-36,-32,Joggen
'2011-07-05 10:04:09.033',-128,-65,-62,Joggen
'2011-07-05 10:04:09.073',-82,-66,35,Joggen
'2011-07-05 10:04:09.113',-128,-58,-89,Joggen
'2011-07-05 10:04:09.153',-99,-66,-85,Joggen
'2011-07-05 10:04:09.193',-110,-52,-83,Joggen
'2011-07-05 10:04:09.233',-47,-37,-77,Joggen
'2011-07-05 10:04:09.273',-3,-20,-49,Joggen
'2011-07-05 10:04:09.313',-45,-3,-36,Joggen
'2011-07-05 10:04:09.353',-107,3,-69,Joggen
'2011-07-05 10:04:09.393',-128,-14,38,Joggen
'2011-07-05 10:04:09.433',-128,45,92,Joggen
'2011-07-05 10:04:09.473',-128,127,123,Joggen
'2011-07-05 10:04:09.513',-93,127,123,Joggen
'2011-07-05 10:04:09.553',-101,57,-10,Joggen
'2011-07-05 10:04:09.593',30,107,-125,Joggen
'2011-07-05 10:04:09.633',-97,49,15,Joggen
'2011-07-05 10:04:09.673',-112,18,29,Joggen
'2011-07-05 10:04:09.713',-127,9,17,Joggen
'2011-07-05 10:04:09.753',-128,-40,-38,Joggen
'2011-07-05 10:04:09.793',-126,-71,-69,Joggen
'2011-07-05 10:04:09.833',-128,-79,-37,Joggen
'2011-07-05 10:04:09.873',-128,-70,-99,Joggen
'2011-07-05 10:04:09.913',-110,-59,-95,Joggen
'2011-07-05 10:04:09.953',-108,-48,-93,Joggen
'2011-07-05 10:04:09.993',-41,-24,-68,Joggen
'2011-07-05 10:04:10.033',-6,-2,-36,Joggen
'2011-07-05 10:04:10.073',-69,-16,-51,Joggen
'2011-07-05 10:04:10.113',-128,15,-58,Joggen
'2011-07-05 10:04:10.153',-128,34,77,Joggen
'2011-07-05 10:04:10.193',-128,95,118,Joggen
'2011-07-05 10:04:10.233',-117,127,123,Joggen
'2011-07-05 10:04:10.273',-83,119,77,Joggen
'2011-07-05 10:04:10.313',-111,42,26,Joggen
'2011-07-05 10:04:10.353',-74,58,65,Joggen
'2011-07-05 10:04:10.393',-87,10,22,Joggen
'2011-07-05 10:04:10.433',-113,24,28,Joggen
'2011-07-05 10:04:10.473',-128,-12,-4,Joggen
'2011-07-05 10:04:10.513',-128,-69,-57,Joggen
'2011-07-05 10:04:10.553',-56,-2,-43,Joggen
'2011-07-05 10:04:10.593',-128,-116,-104,Joggen
'2011-07-05 10:04:10.633',-118,-54,-100,Joggen
'2011-07-05 10:04:10.673',-116,-56,-92,Joggen
'2011-07-05 10:04:10.713',-81,-41,-106,Joggen
'2011-07-05 10:04:10.753',10,-35,-31,Joggen
'2011-07-05 10:04:10.793',-30,-12,-37,Joggen
'2011-07-05 10:04:10.833',-95,-13,-57,Joggen
'2011-07-05 10:04:10.873',-120,-11,-38,Joggen
'2011-07-05 10:04:10.913',-128,31,79,Joggen
'2011-07-05 10:04:10.953',-128,127,123,Joggen
'2011-07-05 10:04:10.993',-100,127,122,Joggen
'2011-07-05 10:04:11.033',-105,73,13,Joggen
'2011-07-05 10:04:11.073',33,96,-35,Joggen
'2011-07-05 10:04:11.113',-120,15,10,Joggen
'2011-07-05 10:04:11.153',-113,8,38,Joggen
'2011-07-05 10:04:11.193',-128,13,14,Joggen
'2011-07-05 10:04:11.233',-128,-41,-58,Joggen
'2011-07-05 10:04:11.273',-111,-38,-80,Joggen
'2011-07-05 10:04:11.313',-128,-106,-114,Joggen
'2011-07-05 10:04:11.353',-100,-63,-96,Joggen
'2011-07-05 10:04:11.393',-83,-60,-107,Joggen
'2011-07-05 10:04:11.433',-96,-47,-100,Joggen
'2011-07-05 10:04:11.473',-57,-17,-77,Joggen
'2011-07-05 10:04:11.553',-121,-5,-42,Joggen
'2011-07-05 10:04:11.593',-128,-2,46,Joggen
'2011-07-05 10:04:11.633',-128,50,91,Joggen
'2011-07-05 10:04:11.673',-128,125,123,Joggen
'2011-07-05 10:04:11.713',-101,127,123,Joggen
'2011-07-05 10:04:11.753',-86,111,21,Joggen
'2011-07-05 10:04:11.793',-105,11,28,Joggen
'2011-07-05 10:04:11.833',-66,-12,24,Joggen
'2011-07-05 10:04:11.873',-126,18,43,Joggen
'2011-07-05 10:04:11.913',-128,13,16,Joggen
'2011-07-05 10:04:11.953',-128,-32,-28,Joggen
'2011-07-05 10:04:11.993',-118,-65,-51,Joggen
'2011-07-05 10:04:12.033',-52,4,-37,Joggen
'2011-07-05 10:04:12.073',-128,-82,-94,Joggen
'2011-07-05 10:04:12.113',-74,-66,-81,Joggen
'2011-07-05 10:04:12.153',-102,-46,-89,Joggen
'2011-07-05 10:04:12.193',-55,-27,-84,Joggen
'2011-07-05 10:04:12.233',-16,-10,-44,Joggen
'2011-07-05 10:04:12.273',-64,-2,-42,Joggen
'2011-07-05 10:04:12.313',-126,4,-52,Joggen
'2011-07-05 10:04:12.353',-128,34,96,Joggen
'2011-07-05 10:04:12.393',-128,99,121,Joggen
'2011-07-05 10:04:12.433',-112,127,123,Joggen
'2011-07-05 10:04:12.473',-96,119,45,Joggen
'2011-07-05 10:04:12.513',-67,-8,12,Joggen
'2011-07-05 10:04:12.553',-110,42,-16,Joggen
'2011-07-05 10:04:12.593',-76,4,10,Joggen
'2011-07-05 10:04:12.633',-110,20,30,Joggen
'2011-07-05 10:04:12.673',-128,-14,1,Joggen
'2011-07-05 10:04:12.713',-128,-58,-49,Joggen
'2011-07-05 10:04:12.753',-57,-1,-42,Joggen
'2011-07-05 10:04:12.793',-128,-67,-72,Joggen
'2011-07-05 10:04:12.833',-111,-64,-96,Joggen
'2011-07-05 10:04:12.873',-105,-67,-90,Joggen
'2011-07-05 10:04:12.913',-87,-35,-80,Joggen
'2011-07-05 10:04:12.953',-10,-24,-33,Joggen
'2011-07-05 10:04:12.993',-19,-8,-34,Joggen
'2011-07-05 10:04:13.033',-60,0,-71,Joggen
'2011-07-05 10:04:13.073',-118,23,-43,Joggen
'2011-07-05 10:04:13.113',-127,6,-11,Joggen
'2011-07-05 10:04:13.153',-128,90,108,Joggen
